date,price,ret,pos,pos_for_ret_t,trade,cost,pnl_gross,pnl_net
2000-01-31,1868.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2000-02-01,1856.0,-0.0064239828693790635,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-02-02,1827.0,-0.015625,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-02-03,1817.0,-0.005473453749315849,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-02-04,1819.0,0.0011007154650521933,0.0,0.0,0.0,-0.0,0.0,0.0
2000-02-07,1823.0,0.0021990104452995762,0.0,0.0,0.0,-0.0,0.0,0.0
2000-02-08,1813.0,-0.005485463521667566,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-02-09,1815.0,0.0011031439602868787,0.0,0.0,0.0,-0.0,0.0,0.0
2000-02-10,1878.0,0.034710743801652955,0.0,0.0,0.0,-0.0,0.0,0.0
2000-02-11,1871.0,-0.0037273695420659836,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-02-14,1862.0,-0.0048102618920363716,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-02-15,1844.5,-0.009398496240601517,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-02-16,1833.0,-0.00623475196530221,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-02-17,1845.0,0.00654664484451728,0.0,0.0,0.0,-0.0,0.0,0.0
2000-02-18,1844.0,-0.0005420054200542257,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-02-21,1821.0,-0.012472885032537961,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-02-22,1833.0,0.006589785831960571,0.0,0.0,0.0,-0.0,0.0,0.0
2000-02-23,1856.0,0.012547735951991212,0.0,0.0,0.0,-0.0,0.0,0.0
2000-02-24,1868.0,0.006465517241379226,0.0,0.0,0.0,-0.0,0.0,0.0
2000-02-25,1826.0,-0.0224839400428265,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-02-28,1745.0,-0.04435925520262873,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-02-29,1733.0,-0.006876790830945612,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-03-01,1773.0,0.023081361800346256,0.0,0.0,0.0,-0.0,0.0,0.0
2000-03-02,1752.0,-0.011844331641285955,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-03-03,1761.0,0.005136986301369939,0.0,0.0,0.0,-0.0,0.0,0.0
2000-03-06,1768.0,0.003975014196479165,0.0,0.0,0.0,-0.0,0.0,0.0
2000-03-07,1749.0,-0.01074660633484159,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-03-08,1728.0,-0.012006861063464824,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-03-09,1754.0,0.01504629629629628,0.0,0.0,0.0,-0.0,0.0,0.0
2000-03-10,1756.0,0.0011402508551880963,0.0,0.0,0.0,-0.0,0.0,0.0
2000-03-13,1738.5,-0.009965831435079675,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-03-14,1771.0,0.018694276675294885,0.0,0.0,0.0,-0.0,0.0,0.0
2000-03-15,1776.0,0.0028232636928289256,0.0,0.0,0.0,-0.0,0.0,0.0
2000-03-16,1791.0,0.008445945945946054,0.0,0.0,0.0,-0.0,0.0,0.0
2000-03-17,1802.0,0.006141820212171911,0.0,0.0,0.0,-0.0,0.0,0.0
2000-03-20,1783.0,-0.010543840177580477,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-03-21,1805.0,0.012338754907459393,0.0,0.0,0.0,-0.0,0.0,0.0
2000-03-22,1794.0,-0.006094182825484795,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-03-23,1793.0,-0.0005574136008918984,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-03-24,1780.0,-0.007250418293363037,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-03-27,1763.0,-0.009550561797752821,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-03-28,1768.0,0.0028360748723765816,0.0,0.0,0.0,-0.0,0.0,0.0
2000-03-29,1774.0,0.0033936651583710287,0.0,0.0,0.0,-0.0,0.0,0.0
2000-03-30,1780.0,0.0033821871476888976,0.0,0.0,0.0,-0.0,0.0,0.0
2000-03-31,1764.0,-0.008988764044943864,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-04-03,1754.0,-0.005668934240362855,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-04-04,1754.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2000-04-05,1747.0,-0.003990877993158448,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-04-06,1692.0,-0.031482541499713745,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-04-07,1685.5,-0.0038416075650118398,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-04-10,1711.0,0.015129041827350864,0.0,0.0,0.0,-0.0,0.0,0.0
2000-04-11,1725.0,0.008182349503214503,0.0,0.0,0.0,-0.0,0.0,0.0
2000-04-12,1720.0,-0.0028985507246376274,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-04-13,1701.0,-0.01104651162790693,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-04-14,1669.0,-0.018812463256907663,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-04-17,1653.0,-0.009586578789694378,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-04-18,1684.0,0.018753781004234638,0.0,0.0,0.0,-0.0,0.0,0.0
2000-04-19,1708.0,0.014251781472684133,0.0,0.0,0.0,-0.0,0.0,0.0
2000-04-20,1698.0,-0.005854800936768156,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-04-21,1704.0,0.0035335689045936647,0.0,0.0,0.0,-0.0,0.0,0.0
2000-04-24,1704.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2000-04-25,1730.0,0.015258215962441257,0.0,0.0,0.0,-0.0,0.0,0.0
2000-04-26,1740.0,0.005780346820809301,0.0,0.0,0.0,-0.0,0.0,0.0
2000-04-27,1729.5,-0.0060344827586207295,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-04-28,1752.0,0.013009540329575131,0.0,0.0,0.0,-0.0,0.0,0.0
2000-05-01,1752.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2000-05-02,1789.5,0.021404109589041154,0.0,0.0,0.0,-0.0,0.0,0.0
2000-05-03,1772.0,-0.009779267951941839,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-05-04,1777.0,0.0028216704288939187,0.0,0.0,0.0,-0.0,0.0,0.0
2000-05-05,1811.0,0.019133370849746756,0.0,0.0,0.0,-0.0,0.0,0.0
2000-05-08,1795.0,-0.008834897846493606,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-05-09,1801.0,0.003342618384401197,0.0,0.0,0.0,-0.0,0.0,0.0
2000-05-10,1795.0,-0.003331482509716821,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-05-11,1798.0,0.0016713091922004875,0.0,0.0,0.0,-0.0,0.0,0.0
2000-05-12,1828.0,0.016685205784204626,0.0,0.0,0.0,-0.0,0.0,0.0
2000-05-15,1828.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2000-05-16,1848.0,0.010940919037199182,0.0,0.0,0.0,-0.0,0.0,0.0
2000-05-17,1833.0,-0.008116883116883078,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-05-18,1835.0,0.0010911074740862503,0.0,0.0,0.0,-0.0,0.0,0.0
2000-05-19,1826.0,-0.004904632152588517,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-05-22,1820.0,-0.003285870755750264,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-05-23,1818.0,-0.001098901098901095,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-05-24,1828.0,0.005500550055005604,0.0,0.0,0.0,-0.0,0.0,0.0
2000-05-25,1811.0,-0.009299781181619227,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-05-26,1821.0,0.005521811154058476,0.0,0.0,0.0,-0.0,0.0,0.0
2000-05-29,1824.0,0.0016474464579900872,0.0,0.0,0.0,-0.0,0.0,0.0
2000-05-30,1764.0,-0.03289473684210531,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-05-31,1770.0,0.00340136054421758,0.0,0.0,0.0,-0.0,0.0,0.0
2000-06-01,1777.0,0.00395480225988698,0.0,0.0,0.0,-0.0,0.0,0.0
2000-06-02,1746.0,-0.017445132245357375,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-06-05,1754.0,0.004581901489117968,0.0,0.0,0.0,-0.0,0.0,0.0
2000-06-06,1760.0,0.003420752565564511,0.0,0.0,0.0,-0.0,0.0,0.0
2000-06-07,1715.0,-0.025568181818181768,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-06-08,1740.0,0.014577259475218707,0.0,0.0,0.0,-0.0,0.0,0.0
2000-06-09,1748.5,0.004885057471264442,0.0,0.0,0.0,-0.0,0.0,0.0
2000-06-12,1731.5,-0.00972261938804686,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-06-13,1757.0,0.01472711521801906,0.0,0.0,0.0,-0.0,0.0,0.0
2000-06-14,1768.0,0.00626067159931698,0.0,0.0,0.0,-0.0,0.0,0.0
2000-06-15,1769.0,0.0005656108597285048,0.0,0.0,0.0,-0.0,0.0,0.0
2000-06-16,1801.0,0.018089315997738886,0.0,0.0,0.0,-0.0,0.0,0.0
2000-06-19,1805.0,0.002220988339811214,0.0,0.0,0.0,-0.0,0.0,0.0
2000-06-20,1788.0,-0.009418282548476431,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-06-21,1799.5,0.006431767337807592,0.0,0.0,0.0,-0.0,0.0,0.0
2000-06-22,1801.0,0.0008335648791331085,0.0,0.0,0.0,-0.0,0.0,0.0
2000-06-23,1777.0,-0.013325930038867284,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-06-26,1803.0,0.014631401238041741,0.0,0.0,0.0,-0.0,0.0,0.0
2000-06-27,1794.0,-0.004991680532445919,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-06-28,1808.0,0.0078037904124861335,0.0,0.0,0.0,-0.0,0.0,0.0
2000-06-29,1780.0,-0.015486725663716783,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-06-30,1790.0,0.00561797752808979,0.0,0.0,0.0,-0.0,0.0,0.0
2000-07-03,1794.0,0.0022346368715084886,0.0,0.0,0.0,-0.0,0.0,0.0
2000-07-04,1787.0,-0.0039018952062430667,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-07-05,1787.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2000-07-06,1767.0,-0.011191941801902638,0.0,0.0,0.0,-0.0,-0.0,-0.0
2000-07-07,1768.0,0.0005659309564232107,0.0,0.0,0.0,-0.0,0.0,0.0
